,ydstogo,yardline_100,play_type,half_seconds_remaining,score_differential,fg_prob,td_prob
38874,3,61.0,1,1446.0,-14.0,0.2429284638949456,0.3669143047332724
38875,12,54.0,2,1361.0,-14.0,0.31098772877360564,0.3048078215038589
38879,14,46.0,2,720.0,-7.0,0.35615655305640365,0.30287987652082665
38880,6,64.0,1,144.0,3.0,0.1264204166524157,0.17621186258797975
38881,10,89.0,2,1718.0,0.0,0.1047946840211506,0.1823529346870804
38882,9,33.0,2,1414.0,0.0,0.4540609181828024,0.3437045207129891
38885,1,27.0,1,1009.0,-3.0,0.4037376690488888,0.4727688240394263
38886,11,56.0,2,856.0,-4.0,0.2878032309234672,0.30121790954787103
38889,1,71.0,1,1726.0,-3.0,0.17378663197746502,0.3937593676194212
38891,4,44.0,2,1069.0,7.0,0.3538881847474024,0.3881343923565788
38898,1,74.0,1,652.0,0.0,0.14494345667075614,0.3545519793574885
38901,2,31.0,2,239.0,0.0,0.3277237969188675,0.3543256041034896
38902,1,56.0,1,1717.0,0.0,0.24989070224740664,0.44911856571988784
38903,10,55.0,2,1644.0,0.0,0.3001005704685588,0.30935734411109683
38904,1,50.0,1,1419.0,0.0,0.28242371745416944,0.4665177064130506
38906,1,72.0,1,922.0,-3.0,0.16549168309308515,0.3895199010793097
38907,13,51.0,2,700.0,-3.0,0.31641924115794884,0.2959991842098356
38910,3,60.0,2,142.0,-4.0,0.13863453244804136,0.21388386321079408
38914,7,49.0,2,1349.0,-4.0,0.3363453949858448,0.34657133206746416
38916,8,8.0,2,1099.0,4.0,0.5676004250723038,0.3856001565937171
38921,7,10.0,2,384.0,11.0,0.5415142726973959,0.3137283677435358
38924,6,14.0,2,91.0,11.0,0.5268543851393074,0.197337926985431
38925,8,72.0,2,1729.0,0.0,0.1870207875719049,0.2636443166345125
38926,2,50.0,1,1640.0,0.0,0.3004846263909321,0.4189550773351872
38928,2,76.0,1,900.0,-7.0,0.1534174997085262,0.3264622583111889
