,shotgun,no_huddle,ydstogo,yardline_100,half_seconds_remaining,pass_length,score_differential,fg_prob,td_prob,ep,third_down_converted
31977,1,0,6,23.0,1635.0,2,7.0,0.504478270212666,0.3577312273162891,3.2955198759476083,1.0
31978,1,0,4,5.0,1488.0,2,7.0,0.5861998979159818,0.347685320023062,3.8539821694081695,0.0
31979,1,0,6,91.0,1430.0,1,-7.0,0.09800002395101157,0.19999260786120296,-1.9721565492785784,0.0
31981,1,0,4,74.0,1157.0,2,-10.0,0.17250169736911256,0.3000967518161653,-0.08123542572985754,0.0
31982,1,0,10,22.0,1009.0,2,10.0,0.5259684739411634,0.3313927226011249,3.2006633012872516,0.0
31983,1,0,8,22.0,793.0,2,-13.0,0.5109387361060015,0.34136821458584204,3.267541743389176,0.0
31984,1,0,1,76.0,672.0,2,13.0,0.1378682757909007,0.3476399897311329,0.7542401669607737,1.0
31985,1,0,2,58.0,545.0,2,13.0,0.22289214701569546,0.3626891396717664,1.7462071374913102,1.0
31986,0,0,2,2.0,197.0,2,13.0,0.28308594429086986,0.5996853518530455,4.8789963946120185,1.0
31987,1,0,10,31.0,143.0,2,-21.0,0.3358321685962524,0.2491816398736847,2.117964709228332,1.0
31988,1,0,4,4.0,79.0,2,-21.0,0.4856763705374421,0.3388457097185648,3.754478694511004,0.0
31990,1,0,10,77.0,1442.0,1,0.0,0.1617950499747904,0.2356896522852577,-1.037703921242445,0.0
31992,1,0,11,63.0,1238.0,2,7.0,0.24707129000245026,0.2850618703208591,0.3043003143617402,0.0
31994,1,0,9,76.0,986.0,2,0.0,0.16487213165556347,0.2455617730239677,-0.7207248124792596,1.0
31995,1,0,9,65.0,916.0,2,0.0,0.2274934862825836,0.2864054110640377,0.3220896470543149,0.0
31996,1,0,8,45.0,677.0,2,0.0,0.3475190658585517,0.3324129248914255,2.032256486079416,0.0
31997,1,0,10,78.0,611.0,2,0.0,0.13918137052075175,0.21077799747058087,-0.7582559502998669,0.0
31998,1,0,9,53.0,431.0,2,0.0,0.2600396424467775,0.2756814398291867,1.2614748945685896,1.0
31999,1,0,8,26.0,353.0,2,0.0,0.4326847052899028,0.3113575920672622,2.8319480651482034,0.0
32000,1,0,9,72.0,1596.0,2,-3.0,0.18846198187778426,0.2593738767833628,-0.5457635742464872,0.0
32001,0,0,2,2.0,1365.0,2,3.0,0.3128115405319671,0.6412320099871313,5.219920768958335,1.0
32002,0,0,3,41.0,1252.0,2,-10.0,0.3665582130607626,0.4086156848220369,2.8018531706355305,0.0
32003,1,0,19,54.0,1085.0,2,10.0,0.3163788233857117,0.28044303035777823,0.8577090468494449,0.0
32004,1,0,6,63.0,913.0,2,10.0,0.23538450863275226,0.3161437118275264,0.7502628240912741,1.0
32005,0,0,2,21.0,783.0,2,10.0,0.4599648366878432,0.4195939605005344,3.7997472718739935,1.0
32006,1,0,4,38.0,487.0,2,10.0,0.3544774965805918,0.36018963249102154,2.667086713470043,1.0
32007,1,0,8,26.0,350.0,2,10.0,0.43199607371451615,0.3108882978511339,2.8278055724440185,1.0
32009,0,0,6,29.0,195.0,2,17.0,0.3577557607736381,0.2898564389495893,2.5044732917962933,1.0
32011,1,0,18,85.0,1683.0,2,0.0,0.12206325451730228,0.17401561850173275,-2.1474580609199148,0.0
32012,1,0,14,20.0,1480.0,2,0.0,0.5544521714598042,0.3087708504494018,3.1136007886170387,0.0
32014,1,0,20,54.0,1193.0,2,-7.0,0.31812217743436394,0.27775586932353874,0.8054922071633845,0.0
32015,1,0,5,74.0,991.0,2,7.0,0.1721862925053466,0.2855376995543649,-0.1731083900947894,0.0
32018,1,0,5,20.0,199.0,2,16.0,0.41911251691602797,0.30839307911343417,2.96735514718727,0.0
32019,1,0,15,39.0,72.0,1,-19.0,0.3226317286658581,0.14340440582004568,1.6534160881036382,0.0
32022,1,0,3,53.0,1488.0,2,22.0,0.2917541595412507,0.388934210837311,1.9170071732058191,1.0
32023,0,0,29,35.0,1263.0,2,22.0,0.4722990131076793,0.2810883724318247,2.105960291757686,0.0
32025,1,0,5,11.0,869.0,2,-25.0,0.5583433026454943,0.3508002450902139,3.718697398668884,1.0
