,shotgun,no_huddle,ydstogo,yardline_100,play_type,half_seconds_remaining,down,score_differential,fg_prob,td_prob,ep,third_down_converted
1060,1,0,3,43.0,pass,190.0,3.0,14.0,0.2451125360267329,0.2903644823840188,1.99550607856702,1.0
1061,1,0,4,41.0,pass,436.0,3.0,3.0,0.32579288667017803,0.3472562450622583,2.4380400450287727,1.0
1062,1,1,3,73.0,pass,82.0,3.0,-6.0,0.1024292631839503,0.11249036887691186,0.6124213674842304,1.0
1063,1,1,16,16.0,pass,650.0,3.0,-34.0,0.6531425394683481,0.27843007403601755,3.683940193595423,0.0
1064,1,0,17,67.0,pass,900.0,3.0,-12.0,0.21958875759726731,0.24556896052241695,-0.2291434515205477,0.0
1065,0,0,1,66.0,pass,311.0,3.0,5.0,0.1386826781845389,0.30266105836542473,1.2784244515135157,1.0
1066,1,1,5,57.0,pass,756.0,3.0,-10.0,0.2633420402930465,0.33799840205332843,1.3848901070439168,1.0
1067,1,0,8,80.0,pass,1567.0,3.0,-18.0,0.14520269120181778,0.2327001817891146,-1.2220125190055209,0.0
1068,0,0,12,46.0,pass,669.0,3.0,-7.0,0.348551289722029,0.3078163747620999,1.7599113506631499,0.0
1069,1,0,13,63.0,pass,565.0,3.0,10.0,0.2199274904296606,0.24861521209386986,0.3465347556298566,0.0
1070,1,0,10,67.0,pass,818.0,3.0,-4.0,0.2123522149377614,0.26972104014689635,0.10065092518877128,0.0
1071,1,0,6,71.0,pass,195.0,3.0,-14.0,0.10888279847687413,0.16887045351462646,0.12810820133049106,0.0
1072,1,0,6,49.0,pass,1132.0,3.0,-4.0,0.3317129838406441,0.3566101084834703,1.9034241602286124,1.0
1073,1,0,5,36.0,pass,644.0,3.0,1.0,0.39355000298229537,0.3662384586310944,2.7931280323688505,0.0
1074,1,0,5,11.0,pass,1741.0,3.0,0.0,0.565927363808845,0.346947385497557,3.673226099539122,1.0
1075,1,0,2,84.0,pass,1723.0,3.0,0.0,0.12163789559925955,0.2862094806804577,-0.7538269593296351,0.0
1076,1,0,4,78.0,pass,907.0,3.0,-7.0,0.14895540649959155,0.2776106345458577,-0.37263069958744577,0.0
1077,1,0,10,22.0,pass,47.0,3.0,-3.0,0.4473976479561681,0.16834443709371796,2.331803041087773,0.0
1078,1,0,7,64.0,pass,61.0,3.0,4.0,0.1397829832415137,0.10946632126106548,0.7412608709242859,0.0
1079,1,0,7,20.0,pass,1641.0,3.0,0.0,0.5286078765548263,0.3450322130567652,3.340206130080736,1.0
1080,0,0,2,39.0,pass,27.0,3.0,6.0,0.2639584259633709,0.1888430430540025,1.8821621706298213,0.0
1081,1,0,16,22.0,pass,421.0,3.0,8.0,0.4974191267376386,0.2852340037498124,2.8476501425503016,0.0
1082,1,0,10,18.0,pass,263.0,3.0,-13.0,0.4746971434248444,0.2871169754487785,2.9504836170835613,0.0
