,shotgun,no_huddle,ydstogo,yardline_100,half_seconds_remaining,run_location,score_differential,fg_prob,td_prob,ep,third_down_converted
17646,0,0,1,3.0,136.0,2,11.0,0.4543037216936522,0.37620274944772575,3.802937846111389,1.0
17647,0,0,14,84.0,96.0,1,-18.0,0.07478266712644513,0.06769601153736401,0.03925217476793602,0.0
17650,0,0,9,42.0,918.0,1,22.0,0.3854838726235976,0.34006857935074186,2.215110642500316,0.0
17651,1,0,2,2.0,689.0,2,15.0,0.3062603008388033,0.6398581492418174,5.207418725619077,0.0
17653,0,0,6,77.0,389.0,1,15.0,0.11765124132690448,0.1991157943777197,-0.2828004976896996,0.0
17654,0,0,5,63.0,249.0,3,15.0,0.15462950768007475,0.2208857475683539,0.685064792117147,0.0
17657,1,0,3,5.0,1150.0,2,-3.0,0.5706420772794838,0.3656534281698745,3.957695436167465,0.0
17660,0,0,1,71.0,719.0,2,3.0,0.16217476306004244,0.3780098586802551,1.190419549686749,0.0
17665,1,0,7,68.0,1671.0,2,-1.0,0.21000562770663408,0.28765628786009523,-0.0240413666031718,1.0
17670,0,0,1,78.0,926.0,1,4.0,0.139511967381338,0.3602479367648349,0.5520097754727327,1.0
17675,1,1,1,71.0,75.0,2,0.0,0.10194075851626593,0.14063831157872314,0.8812604959937341,1.0
17676,0,0,5,21.0,44.0,3,0.0,0.4374606839437197,0.1908480442358642,2.479198277684565,0.0
17679,1,0,1,52.0,1374.0,1,0.0,0.2714643793527444,0.4630823065461607,2.6741686559904103,1.0
17683,1,1,1,88.0,789.0,2,0.0,0.0984168946542959,0.29776675405236763,-0.31868174144843003,1.0
17695,1,1,7,35.0,672.0,2,14.0,0.4131098557547752,0.34941869701339123,2.71223956752448,1.0
17705,0,0,1,81.0,738.0,2,-13.0,0.12148661468588705,0.3303379798573687,0.31417181857607845,0.0
17710,1,0,8,31.0,116.0,3,17.0,0.4049978059949057,0.18423590119508176,2.241935451274742,0.0
17711,1,0,10,80.0,93.0,3,-20.0,0.0855945266807441,0.07885239267273864,0.20074635442710087,0.0
17722,0,0,1,75.0,1738.0,1,0.0,0.15543468031818528,0.3745180720736347,0.6056621575758174,1.0
17723,1,0,4,61.0,1351.0,3,-7.0,0.24736193460800884,0.3500620511854422,1.087693222446005,1.0
17729,1,0,2,13.0,172.0,2,-21.0,0.42770920685600056,0.3507563672414605,3.429794131030316,1.0
17730,1,0,3,13.0,1486.0,2,-21.0,0.5318478076533208,0.3820333733554577,3.8252687354033816,0.0
17731,0,0,1,60.0,1319.0,3,-25.0,0.2288183768388539,0.4424072599449032,2.079074088823772,1.0
17733,0,0,1,71.0,1083.0,2,11.0,0.1729079999718271,0.3989210381414237,1.1692634180589525,1.0
17737,1,0,4,50.0,427.0,3,18.0,0.2652076828850377,0.3249620950523797,1.8523554844829329,0.0
17738,1,0,1,47.0,161.0,1,-18.0,0.19478985760460715,0.3182460886351098,2.116192644901104,1.0
