,shotgun,no_huddle,ydstogo,yardline_100,play_type,half_seconds_remaining,pass_length,run_location,score_differential,fg_prob,td_prob,ep
26252,1,0,6,79.0,2,900.0,2.0,,-5.0,0.14603742226408084,0.25127977007040925,-0.7127896140960723
26253,0,0,2,23.0,1,721.0,,3.0,-5.0,0.4457734258914571,0.4201504935300448,3.729381013665847
26256,1,0,9,79.0,2,693.0,2.0,,-1.0,0.13952229971018545,0.21947257037550752,-0.8383554082840452
26262,1,0,6,86.0,2,487.0,2.0,,-2.0,0.09430651697202667,0.18292856319583886,-0.9735488484035342
26272,1,0,2,20.0,1,260.0,,2.0,-20.0,0.4048777792156687,0.3690670262080967,3.3849345743260417
26275,1,0,2,40.0,2,1645.0,2.0,,0.0,0.360710296382706,0.43082435007630393,2.997915690924981
26277,0,0,1,71.0,1,1381.0,,3.0,-3.0,0.17440974574632276,0.3990259191500483,1.0952182206494865
26278,1,0,2,43.0,2,831.0,2.0,,-4.0,0.33331264205190136,0.42666116235068174,2.897903487621164
26283,0,0,10,63.0,2,1697.0,2.0,,0.0,0.2447803864604691,0.28512578693148805,0.2290134554184657
26288,1,0,7,63.0,2,49.0,1.0,,-4.0,0.14031464709980335,0.10823348044630546,0.7541683128655445
26291,1,0,5,37.0,1,1332.0,,3.0,0.0,0.4085474337383857,0.3787159036865141,2.7715309813731874
26293,1,0,7,75.0,2,1089.0,2.0,,7.0,0.1702873835946163,0.26420255017822475,-0.512253352066963
26297,1,0,7,77.0,2,1728.0,1.0,,-4.0,0.15905227369692682,0.24998528911819606,-0.9093733150462746
26300,1,0,4,57.0,2,1216.0,1.0,,7.0,0.2718306476924297,0.3629972168112484,1.473127633898423
26301,1,0,5,11.0,2,1015.0,2.0,,7.0,0.5614317754627889,0.3512946027689209,3.7234272237840513
26302,1,0,1,4.0,1,772.0,,3.0,-14.0,0.5149532634079554,0.4253886938707139,4.278373607091002
26307,1,0,7,77.0,2,1511.0,2.0,,-3.0,0.16013802497329413,0.2532332516793541,-0.8415487313851728
26308,1,0,4,41.0,1,1368.0,,1.0,-3.0,0.3757618608994637,0.3901506426670538,2.637621854445704
26312,1,0,10,56.0,2,557.0,2.0,,0.0,0.2618185536099443,0.28261237435785025,1.0477817693368678
26313,0,0,1,1.0,1,391.0,,1.0,0.0,0.19383898880912973,0.7344264538803501,5.55235272909696
26314,0,0,2,63.0,1,307.0,,1.0,-7.0,0.15844609901342044,0.28041474303355723,1.1450373589788465
26317,1,0,2,66.0,1,1539.0,,3.0,11.0,0.20841975488995587,0.3732038533807397,1.0329006854069946
26322,0,0,4,54.0,2,266.0,2.0,,-27.0,0.20481166113626045,0.26817953281243023,1.3678791870251434
26323,0,0,1,65.0,1,81.0,,1.0,20.0,0.12783677507431074,0.1607136745256265,1.1254239100877808
26328,1,0,5,69.0,2,1202.0,2.0,,0.0,0.20198104413019005,0.3081952351730905,0.2368262600716966
26329,0,0,2,5.0,2,997.0,2.0,,0.0,0.549337557729386,0.3889564838987921,4.079902101549598
26331,1,0,3,73.0,2,1728.0,2.0,,4.0,0.17479670365814273,0.3153148166375818,0.0292446206356205
26333,0,0,1,59.0,1,1349.0,,3.0,-3.0,0.2341110132693053,0.4453201593662754,2.153367125431405
26335,1,0,3,53.0,2,1097.0,2.0,,3.0,0.2899632453559151,0.3908228760540648,1.9950321506059925
26336,1,0,3,34.0,2,991.0,2.0,,3.0,0.40646851064153017,0.4096270882339647,3.192670807354812
26337,1,0,7,26.0,2,900.0,2.0,,3.0,0.484860433140459,0.3545545461634203,3.1809324392334086
26339,0,0,1,32.0,2,638.0,1.0,,-6.0,0.3619202254009639,0.4626655380336204,3.668788420631816
26342,1,1,5,48.0,2,1716.0,2.0,,0.0,0.33500418975333085,0.3641543796889996,1.9573958070269124
